Country Name,Adjusted net national income per capita (current US$)
Aruba,24994.14735
Africa Eastern and Southern,1264.541984
Afghanistan,458.3445658
Africa Western and Central,1347.982442
Angola,2051.814728
Albania,4318.911492
Andorra,
Arab World,5223.738966
United Arab Emirates,42227.03932
Argentina,9813.558914
Armenia,3859.70294
American Samoa,
Antigua and Barbuda,
Australia,43990.13708
Austria,41596.61338
Azerbaijan,3372.911412
Burundi,170.1566317
Belgium,39066.43551
Benin,1053.587306
Burkina Faso,678.4211503
Bangladesh,1606.078875
Bulgaria,7755.416718
Bahrain,18979.43766
"Bahamas, The",27618.83924
Bosnia and Herzegovina,4942.000426
Belarus,5205.002515
Belize,3778.55537
Bermuda,
Bolivia,2895.794799
Brazil,7737.671235
Barbados,15472.41481
Brunei Darussalam,23272.57504
Bhutan,2610.617204
Botswana,5389.770873
Central African Republic,376.7930564
Canada,37633.85946
Central Europe and the Baltics,13012.82432
Switzerland,63796.92495
Channel Islands,
Chile,12169.23461
China,7378.394948
Cote d'Ivoire,2098.79471
Cameroon,1285.705185
"Congo, Dem. Rep.",416.0297053
"Congo, Rep.",866.137916
Colombia,5561.638957
Comoros,1391.139683
Cabo Verde,2936.643709
Costa Rica,11047.9372
Caribbean small states,8343.68092
Cuba,7638.541524
Curacao,
Cayman Islands,
Cyprus,24782.80273
Czechia,17419.30818
Germany,40746.2168
Djibouti,2399.449032
Dominica,6623.907698
Denmark,52848.81876
Dominican Republic,7123.862631
Algeria,3264.69429
East Asia & Pacific (excluding high income),5967.919188
Early-demographic dividend,2862.870424
East Asia & Pacific,8633.473559
Europe & Central Asia (excluding high income),6329.326688
Europe & Central Asia,20738.17399
Ecuador,4850.104554
"Egypt, Arab Rep.",2082.906766
Euro area,33183.87313
Eritrea,
Spain,25714.57146
Estonia,19086.7926
Ethiopia,638.6801047
European Union,29610.72834
Fragile and conflict affected situations,1445.397175
Finland,40900.78716
Fiji,4868.934128
France,34876.74754
Faroe Islands,
"Micronesia, Fed. Sts.",3469.981575
Gabon,4727.970446
United Kingdom,36247.52054
Georgia,3864.344408
Ghana,1682.715016
Gibraltar,
Guinea,756.6202801
"Gambia, The",526.8727111
Guinea-Bissau,645.5094649
Equatorial Guinea,3643.315805
Greece,16524.37771
Grenada,
Greenland,
Guatemala,3811.795522
Guam,
Guyana,5533.35088
High income,36811.92909
"Hong Kong SAR, China",
Honduras,2120.794303
Heavily indebted poor countries (HIPC),804.132207
Croatia,12673.84863
Haiti,1413.648386
Hungary,13114.89715
IBRD only,4969.88546
IDA & IBRD total,3977.312224
IDA total,1148.300135
IDA blend,1453.577098
