country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,785,866,763,777,827,891,924,1010,864,1150,989,967,1000,1020,917,964,922,928,896,813,573,418,412,441,417,448,385,427,576,580,597,660,648,715,720,707,680,711,732,729,765,688,801,808,
Algeria,,,,,,,,,,,,233,263,307,321,332,369,401,480,590,583,615,776,813,781,791,868,833,855,825,861,889,889,872,824,843,802,809,825,868,870,860,908,953,952,978,1030,1080,1070,1150,1110,1140,1230,1250,1330,
Angola,,,,,,,,,,,,637,663,636,624,587,559,533,567,556,547,532,506,502,489,501,489,484,486,480,497,492,479,480,471,456,454,449,434,441,439,443,448,468,465,434,459,472,492,515,521,522,552,534,545,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,,,,,,,,,,,,1680,1680,1730,1740,,,,,,,,
Argentina,,,,,,,,,,,,1390,1390,1420,1430,1390,1420,1430,1440,1500,1500,1440,1430,1430,1460,1370,1430,1480,1510,1450,1410,1440,1490,1470,1550,1550,1590,1620,1660,1670,1670,1570,1510,1600,1730,1720,1850,1860,1940,1870,1930,1950,1940,1970,2030,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,2320,1200,652,420,511,562,594,610,594,656,657,618,656,698,843,865,973,1030,904,863,944,1030,1000,1020,
Australia,3060,3120,3170,3280,3350,3460,3550,3690,3760,3790,4060,3990,4040,4260,4290,4350,4410,4670,4630,4680,4740,4690,4820,4560,4650,4600,4620,4770,4700,5000,5060,4930,4960,5150,5090,5130,5390,5470,5550,5610,5640,5450,5570,5570,5600,5560,5710,5870,5960,5860,5790,5750,5580,5470,5330,5480
Austria,1550,1550,1680,1820,1860,1850,1900,1920,2050,2180,2420,2510,2630,2830,2730,2650,2870,2800,2890,3140,3070,2900,2830,2840,2950,3050,3060,3170,3200,3140,3240,3420,3250,3260,3230,3370,3580,3550,3610,3590,3570,3760,3770,3970,4010,4090,4080,4020,4030,3800,4050,3920,3890,3920,3760,3800
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,3090,2460,2180,1950,1810,1510,1440,1490,1370,1400,1410,1410,1480,1540,1600,1560,1410,1520,1330,1280,1370,1470,1470,1500,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,,,,,,,,,,,,,,2080,2140,2130,2100,,,,,,,,
Bahrain,,,,,,,,,,,,6390,5970,8500,9010,8000,9580,8190,7840,8810,7790,8300,9070,8500,8830,9920,10300,9520,10500,10200,10600,10100,10800,11100,11600,11400,11100,12200,12400,11900,12000,11700,11500,11600,10900,11700,11600,11200,11300,10300,10200,9910,9660,10400,10600,
Bangladesh,,,,,,,,,,,,86.8,88.1,93.9,95.5,96,99.9,99.7,100,102,106,105,108,108,106,110,114,110,117,120,123,119,123,127,130,138,136,139,142,141,143,154,154,160,160,164,173,179,186,193,207,212,220,222,229,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,,,,,,,,,,,,,,1360,1410,1430,1440,,,,,,,,
