country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Albania,,,,,,,,,,,,0.0275,0.0345,0.0422,0.0476,0.0573,0.0666,0.0754,0.0805,0.0887,0.095,0.0962,0.0967,0.0972,0.0815,0.0619,0.115,0.0924,0.0791,0.0813,0.0744,0.0919,0.0849,0.0884,0.102,0.115,0.158,0.14,0.137,0.148,0.129,0.0993,0.0977,0.135,0.15,0.147,0.148,0.0756,0.103,0.14,0.203,
Algeria,,,,,,,,,,,,0.002,0.00292,0.0043,0.00275,0.00176,0.00202,0.00136,0.00122,0.00137,0.00118,0.00162,0.00205,0.00097,0.00181,0.00251,0.00094,0.00183,0.00065,0.00079,0.00046,0.00097,0.00064,0.00112,0.00051,0.00059,0.0004,0.00022,0.00062,0.00058,0.00015,0.00019,0.00016,0.00071,0.00067,0.00145,0.00056,0.00057,0.00071,0.00075,0.00042,
Angola,,,,,,,,,,,,0.0086,0.00946,0.0111,0.0114,0.0123,0.00541,0.00526,0.00632,0.00645,0.0067,0.00647,0.00662,0.00585,0.00588,0.00665,0.00647,0.0063,0.00615,0.00607,0.00603,0.00623,0.00656,0.00673,0.00655,0.00639,0.00639,0.00588,0.00694,0.00569,0.00563,0.00608,0.0066,0.00692,0.00943,0.0116,0.0135,0.0123,0.0149,0.0143,0.0159,
Argentina,,,,,,,,,,,,0.00545,0.00522,0.0102,0.0169,0.0171,0.0163,0.0184,0.0244,0.0331,0.0463,0.0442,0.0522,0.0538,0.0572,0.0585,0.0586,0.0601,0.0407,0.0346,0.0471,0.0421,0.0497,0.0604,0.0683,0.0662,0.0558,0.0674,0.0629,0.0503,0.067,0.0853,0.0819,0.0765,0.0683,0.0756,0.0836,0.0663,0.0659,0.0727,0.0715,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0377,0.0379,0.0759,0.11,0.0918,0.0512,0.0426,0.0381,0.0425,0.0334,0.0352,0.0272,0.0466,0.0557,0.0561,0.0497,0.0511,0.0518,0.0502,0.0563,0.0711,
Australia,0.0334,0.0379,0.0395,0.052,0.0529,0.0628,0.0523,0.0551,0.0537,0.0578,0.06,0.0767,0.0752,0.0728,0.0829,0.0909,0.0921,0.0795,0.083,0.0909,0.0756,0.0812,0.0774,0.068,0.0668,0.0743,0.0776,0.0716,0.0741,0.0737,0.0712,0.0785,0.0753,0.0802,0.0785,0.0754,0.0723,0.0766,0.0706,0.0735,0.0734,0.0735,0.0696,0.0706,0.0686,0.0643,0.0651,0.0581,0.0476,0.0431,0.0481,0.0564
Austria,0.139,0.136,0.14,0.136,0.151,0.186,0.2,0.203,0.207,0.189,0.239,0.186,0.192,0.213,0.252,0.266,0.227,0.278,0.278,0.314,0.327,0.352,0.352,0.349,0.329,0.352,0.353,0.408,0.405,0.398,0.353,0.35,0.385,0.403,0.389,0.402,0.37,0.389,0.401,0.438,0.449,0.433,0.428,0.351,0.386,0.383,0.372,0.384,0.395,0.42,0.393,0.345
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00835,0.0206,0.0202,0.0273,0.0205,0.0172,0.0169,0.0186,0.021,0.0161,0.0163,0.0137,0.021,0.0253,0.0279,0.0301,0.0249,0.023,0.0215,0.0219,0.0323,
Bangladesh,,,,,,,,,,,,0.00022,0.00022,0.00041,0.0003,0.00053,0.00059,0.00051,0.00057,0.00064,0.00062,0.00065,0.00053,0.00065,0.00086,0.00069,0.00041,0.00046,0.00058,0.00077,0.00072,0.00067,0.00062,0.00046,0.00063,0.00027,0.00053,0.00051,0.0006,0.00056,0.00063,0.00065,0.00068,0.00071,0.00076,0.00079,0.00084,0.00083,0.00087,0.00091,0.00096,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00017,0.00015,0.00014,0.00016,0.00016,0.00017,0.00013,0.00018,0.00024,0.00016,0.00023,0.00026,0.00025,0.00024,0.00029,0.00032,0.00031,0.00031,0.00035,0.00039,0.0004,
