country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,0.157,0.161,0.198,0.256,0.288,0.344,0.422,0.392,0.591,0.94,0.685,0.77,0.974,1.35,1.33,1.42,1.41,1.55,1.58,1.65,1.71,1.8,1.83,1.82,1.64,1.83,1.91,2.15,2.27,2.52,2.53,2.35,2.39,2.49,2.41,2.39,2.25,2.23,2.22,2.02,2,2.02,1.95,1.94,1.92,1.91,2.02
Argentina,0.226,0.232,0.224,0.228,0.221,0.247,0.251,0.25,0.233,0.271,0.304,0.299,0.32,0.361,0.385,0.393,0.454,0.456,0.531,0.557,0.52,0.549,0.561,0.555,0.566,0.617,0.673,0.697,0.744,0.839,0.926,0.913,0.89,0.982,1.04,1.05,1.05,1.01,0.982,0.914,0.875,0.838,0.807,0.752,0.742,0.756,0.786
Australia,0.122,0.179,0.252,0.316,0.356,0.377,0.44,0.497,0.53,0.603,0.684,0.732,0.704,0.754,0.707,0.744,0.798,0.802,0.807,0.911,1.04,1.09,1.18,1.21,1.36,1.41,1.41,1.39,1.41,1.41,1.42,1.47,1.47,1.49,1.56,1.64,1.72,1.77,1.7,1.9,2.05,2.13,2.24,2.29,2.44,2.75,3.4
Azerbaijan,,,,,,,,,,,,,,,,1.72,1.63,1.48,1.38,1.27,1.11,0.952,0.861,0.731,0.678,0.691,0.653,0.617,0.571,0.607,0.567,0.551,0.506,0.499,0.482,0.547,0.638,1.01,1.51,1.49,1.5,1.46,1.52,1.55,1.66,1.68,1.62
Bahrain,2.63,3.7,4.44,6.02,7.06,7.02,6.91,7.02,7.22,7.56,5.84,5.21,7.98,8.14,8.16,9.68,10.7,10.1,10.3,10.4,10.5,9.77,11.1,11.6,11.6,11.5,11.5,12.1,12.3,12.3,11.9,11.8,11.6,11.1,10.6,10.8,10.6,10.2,10.2,9.7,9.49,9.36,9.51,10.1,10.4,10.2,9.76
Bangladesh,0,0,0.00559,0.00761,0.00823,0.00811,0.0104,0.0113,0.0122,0.0136,0.0149,0.0152,0.0192,0.0208,0.0234,0.0259,0.0284,0.0325,0.0372,0.0384,0.0403,0.0405,0.0432,0.0473,0.0491,0.0531,0.0558,0.0537,0.0568,0.0607,0.0644,0.0707,0.0731,0.0772,0.0817,0.0865,0.0924,0.0975,0.103,0.117,0.118,0.119,0.128,0.13,0.135,0.15,0.152
Bolivia,0.00799,0.00783,0.204,0.308,0.316,0.305,0.307,0.317,0.306,0.327,0.393,0.41,0.416,0.391,0.368,0.358,0.357,0.366,0.38,0.393,0.393,0.383,0.37,0.362,0.383,0.375,0.371,0.307,0.314,0.248,0.349,0.499,0.628,0.709,0.98,1.19,1.25,1.32,1.34,1.14,1.29,1.39,1.56,1.76,1.79,1.7,1.63
Brazil,0.00074,0.00115,0.00153,0.00171,0.00321,0.00342,0.00384,0.00467,0.00601,0.00643,0.00734,0.00643,0.00898,0.0119,0.0135,0.0166,0.0189,0.0207,0.0205,0.0206,0.0184,0.0188,0.021,0.0242,0.026,0.0282,0.0303,0.0325,0.0335,0.0387,0.0385,0.0387,0.0462,0.0495,0.0538,0.0526,0.0531,0.0529,0.0651,0.0551,0.0667,0.0758,0.0865,0.0948,0.1,0.101,0.102
Brunei,1.52,1.44,2.82,11.8,24.5,30.8,39.1,43.2,40.8,41.3,40.1,37.6,36.5,37,36.4,34.5,33.6,32.6,32.9,31.3,31,30.6,32,33,32.3,35.6,34.4,33.7,30.4,31,30.5,30.2,29.7,31.5,30.6,29.6,30.6,29.4,28.8,26.8,28.4,29.2,28.3,27.1,25.9,25.1,23.8
Canada,2.2,2.35,2.6,2.73,2.59,2.62,2.58,2.69,2.55,2.76,2.59,2.47,2.52,2.34,2.52,2.68,2.47,2.65,3.04,3.18,3.21,3.38,3.7,4.04,4.31,4.55,4.67,4.7,4.79,4.79,4.91,4.97,4.95,4.74,4.72,4.76,4.73,4.51,4.29,3.93,3.81,3.76,3.64,3.61,3.72,3.73,3.77
