country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Argentina,,,,,,,,,,,,,,,0.00347,0.0083,0.00835,0.00523,0.00912,0.00835,0.00715,0.00848,0.00554,0.00994,0.0134,0.0163,0.0159,0.0178,0.0157,0.0135,0.0192,0.0202,0.0181,0.0196,0.0206,0.0174,0.0182,0.0192,0.0177,0.0167,0.0144,0.0163,0.0133,0.0171,0.0176,0.0153,0.0169,0.0158,0.0159,0.0175,0.0153,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00811,0.063,0.0441,0.0439,0.0578,0.056,0.0557,0.0641,0.0561,0.0618,0.0762,0.0739,0.0714,0.0687,0.0695,0.0692,
Belgium,,,0.00004,0.00043,0.00047,,0.00005,0.00085,0.00055,0.0002,0.00051,,0.0001,0.00067,0.0013,0.0596,0.088,0.104,0.109,0.0996,0.11,0.112,0.137,0.211,0.242,0.302,0.344,0.365,0.374,0.357,0.369,0.369,0.373,0.359,0.347,0.353,0.369,0.403,0.392,0.415,0.407,0.39,0.397,0.395,0.393,0.393,0.383,0.394,0.37,0.381,0.385,0.386
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,0.00106,0.00213,0.00009,0.00059,0.00036,0.00107,0.00128,0.00081,0.00098,0.00024,0.00003,0.00134,0.00127,0.00163,0.00166,0.00199,0.00298,0.00694,0.00664,0.00632,0.00543,0.00456,0.00629,0.0056,0.00627,0.00577,0.00641,
Bulgaria,,,,,,,,,,,,,,,0.00919,0.0252,0.049,0.0576,0.0577,0.0601,0.0598,0.0882,0.104,0.118,0.122,0.126,0.116,0.12,0.155,0.141,0.143,0.13,0.115,0.141,0.156,0.178,0.188,0.186,0.179,0.169,0.195,0.211,0.22,0.19,0.186,0.207,0.218,0.165,0.179,0.174,0.175,
Canada,,,,0.00042,0.00067,0.00056,0.00074,0.00064,0.00377,0.00213,0.00411,0.0166,0.0278,0.058,0.0552,0.0467,0.064,0.0956,0.112,0.125,0.133,0.139,0.132,0.165,0.176,0.201,0.234,0.25,0.265,0.251,0.227,0.26,0.244,0.281,0.32,0.287,0.27,0.238,0.204,0.208,0.204,0.213,0.208,0.204,0.243,0.245,0.258,0.244,0.242,0.23,0.229,0.228
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012,0.00106,0.00091,0.00101,0.001,0.00097,0.00102,0.00113,0.00118,0.00168,0.00288,0.00334,0.00349,0.00359,0.00404,0.00443,0.00452,0.00474,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,0.00167,0.0103,0.02,0.0513,0.0893,0.0986,0.104,0.105,0.101,0.102,0.105,0.108,0.102,0.107,0.104,0.11,0.112,0.114,0.124,0.158,0.218,0.222,0.208,0.218,0.218,0.22,0.224,0.229,0.231
Finland,,,,,,,,,,,,,,,,,,0.0483,0.0591,0.122,0.126,0.263,0.299,0.314,0.333,0.334,0.333,0.342,0.34,0.33,0.331,0.335,0.329,0.339,0.328,0.324,0.327,0.35,0.365,0.383,0.374,0.378,0.369,0.375,0.374,0.382,0.374,0.381,0.371,0.379,0.365,0.37
France,0.00027,0.0005,0.00087,0.00084,0.00117,0.00186,0.00281,0.00506,0.00608,0.00846,0.00967,0.0157,0.0243,0.0244,0.0241,0.0298,0.0256,0.0291,0.0491,0.064,0.0978,0.167,0.172,0.227,0.299,0.349,0.393,0.409,0.422,0.463,0.476,0.5,0.509,0.551,0.537,0.561,0.589,0.584,0.57,0.577,0.605,0.61,0.628,0.63,0.636,0.636,0.631,0.612,0.609,0.564,0.587,0.603
Germany,,0.00003,0.00012,0.00006,0.00012,0.00013,0.0003,0.00137,0.00196,0.00545,0.00714,0.00682,0.0104,0.0132,0.0158,0.0264,0.0323,0.0451,0.048,0.0571,0.0611,0.0721,0.0821,0.0863,0.116,0.153,0.144,0.156,0.172,0.177,0.166,0.159,0.17,0.163,0.159,0.161,0.167,0.178,0.169,0.177,0.177,0.179,0.172,0.172,0.174,0.17,0.174,0.146,0.155,0.141,0.147,0.113
Hungary,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0306,0.0529,0.0608,0.0903,0.111,0.115,0.114,0.114,0.116,0.115,0.117,0.117,0.118,0.117,0.117,0.118,0.119,0.119,0.118,0.0934,0.101,0.118,0.115,0.126,0.127,0.133,0.136,0.135
India,,,,,,,,,,,,0.00018,0.00017,0.00035,0.00031,0.00036,0.00044,0.0003,0.00036,0.00036,0.00037,0.00036,0.00024,0.00041,0.00046,0.00055,0.00054,0.00053,0.0006,0.00046,0.0006,0.00053,0.00064,0.0005,0.00051,0.00071,0.00079,0.00087,0.00101,0.0011,0.00138,0.00156,0.00153,0.00138,0.0013,0.00131,0.0014,0.00124,0.00108,0.00133,0.00184,
Italy,,,,0.00055,0.00404,0.00587,0.00641,0.00519,0.00421,0.00273,0.00512,0.00539,0.00577,0.00496,0.00535,0.00593,0.00591,0.00523,0.00682,0.00403,0.00338,0.00413,0.0103,0.00878,0.0104,0.0106,0.0133,0.00026,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,0.00052,0.00052,0.00085,0.00092,0.00381,0.00654,0.00766,0.00772,0.0155,0.0195,0.0262,0.0241,0.0447,0.0526,0.0613,0.0646,0.0748,0.0829,0.0968,0.114,0.12,0.133,0.127,0.129,0.142,0.15,0.156,0.173,0.186,0.201,0.208,0.219,0.228,0.217,0.22,0.218,0.201,0.164,0.192,0.207,0.206,0.179,0.175,0.19,0.196,0.0692
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,0.395,0.341,0.287,0.181,0.28,0.333,0.289,0.328,0.241,0.207,0.281,0.351,0.386,0.378,0.26,0.219,0.25,0.253,0.279,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039,0.00299,0.00424,0.00385,0.00476,0.00402,0.00787,0.00722,0.00942,0.00821,0.00873,0.00707,0.00741,0.00817,0.00869,0.00752,0.00873,0.00866,0.0082,0.00762,0.00806,0.00446,0.00756
Netherlands,,,,,,,,,0.00019,0.00211,0.00244,0.00266,0.00212,0.00713,0.0209,0.0211,0.0243,0.0231,0.0251,0.0214,0.0256,0.0222,0.0235,0.0216,0.0222,0.0232,0.0249,0.0209,0.0215,0.0234,0.0202,0.0191,0.0216,0.0223,0.0223,0.0224,0.0231,0.0133,0.0209,0.0209,0.0213,0.0214,0.021,0.0214,0.0203,0.0211,0.0182,0.022,0.0217,0.022,0.0205,0.0214
Pakistan,,,,,,,,,,,,0.00015,0.00014,0.0004,0.00059,0.00076,0.00074,0.0005,0.00026,0.00012,0,0.00015,0.00018,0.00022,0.0003,0.00031,0.00037,0.00042,0.00021,0.00002,0.00023,0.00029,0.00042,0.00035,0.00035,0.00033,0.00023,0.00024,0.00018,0.00024,0.00119,0.00134,0.00099,0.00099,0.00154,0.00135,0.00122,0.00161,0.00083,0.00146,0.00169,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00528,0.0207,0.0204,0.0201,0.0211,0.0212,0.0215,0.0192,0.0218,0.0219,0.0223,0.0306,0.0447,0.0469,0.0465,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0686,0.0694,0.0691,0.0688,0.0565,0.0575,0.0631,0.063,0.0613,0.0712,0.0766,0.0806,0.0837,0.0892,0.0862,0.0893,0.0937,0.096,0.0979,0.0983,0.102,
Slovak Republic,,,,,,,,,,,,,0.00006,0.00431,0.00894,0.00341,0.00797,0.00203,0.00034,0.0376,0.0784,0.0882,0.0996,0.104,0.122,0.157,0.195,0.191,0.189,0.199,0.196,0.19,0.179,0.185,0.202,0.183,0.18,0.177,0.181,0.209,0.262,0.272,0.285,0.284,0.271,0.281,0.286,0.243,0.264,0.222,0.229,0.226
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,0.22,0.176,0.174,0.202,0.209,0.203,0.218,0.219,0.204,0.206,0.227,0.239,0.225,0.235,0.253,0.238,0.243,0.267,0.244,0.24,0.263
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,0.0105,0.0139,0.0224,0.0154,0.0256,0.0265,0.0197,0.0209,0.0207,0.0158,0.0206,0.0235,0.024,0.0254,0.0269,0.025,0.025,0.0203,0.0224,0.0233,0.0243,0.0203,0.0178,0.0199,0.0227,0.0221,0.0208,
South Korea,,,,,,,,,,,,,,,,,,0.00017,0.00549,0.00734,0.00798,0.00655,0.0084,0.0196,0.0254,0.0355,0.0593,0.0813,0.0819,0.0957,0.106,0.112,0.111,0.114,0.114,0.129,0.141,0.147,0.17,0.194,0.204,0.209,0.221,0.239,0.24,0.268,0.271,0.259,0.272,0.265,0.265,0.267
Spain,,,,,,,,,0.00022,0.00213,0.00235,0.00635,0.0118,0.0161,0.0176,0.0181,0.018,0.0154,0.0178,0.0155,0.0119,0.0218,0.0198,0.024,0.0518,0.0627,0.0835,0.0918,0.112,0.124,0.12,0.123,0.123,0.123,0.121,0.121,0.123,0.12,0.128,0.127,0.133,0.134,0.131,0.127,0.128,0.114,0.117,0.106,0.112,0.0994,0.116,0.107
Sweden,,,,,,0.0002,0.0005,0.00055,0.00025,0.00066,0.0006,0.00096,0.0155,0.0223,0.0216,0.126,0.167,0.208,0.247,0.218,0.274,0.389,0.403,0.423,0.525,0.603,0.718,0.689,0.706,0.663,0.685,0.766,0.63,0.604,0.716,0.681,0.722,0.679,0.715,0.711,0.556,0.699,0.658,0.649,0.742,0.689,0.633,0.628,0.595,0.482,0.53,0.547
Switzerland,,,,,,,,,,0.00752,0.0246,0.0192,0.0527,0.086,0.0958,0.105,0.107,0.11,0.114,0.161,0.196,0.209,0.205,0.212,0.247,0.3,0.299,0.303,0.298,0.297,0.304,0.293,0.296,0.291,0.301,0.305,0.306,0.308,0.312,0.311,0.317,0.32,0.323,0.323,0.315,0.271,0.32,0.319,0.315,0.312,0.295,0.298
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,0.125,0.123,0.126,0.115,0.119,0.135,0.136,0.13,0.126,0.136,0.135,0.14,0.147,0.158,0.163,0.167,0.172,0.168,0.156,0.169,
United Kingdom,0.00364,0.00417,0.006,0.0102,0.013,0.0239,0.0318,0.0364,0.0408,0.0452,0.0402,0.0424,0.0451,0.0429,0.0515,0.0464,0.0552,0.0611,0.0569,0.0585,0.0565,0.058,0.0671,0.0761,0.0822,0.093,0.0897,0.0837,0.0959,0.108,0.0988,0.106,0.115,0.133,0.131,0.132,0.14,0.145,0.146,0.139,0.124,0.131,0.127,0.128,0.115,0.117,0.107,0.089,0.0737,0.0964,0.0861,0.0951
United States,0.00026,0.00082,0.00109,0.00152,0.00156,0.00169,0.00252,0.00323,0.0056,0.00617,0.00957,0.0165,0.0233,0.0356,0.048,0.072,0.0788,0.102,0.112,0.102,0.0996,0.107,0.11,0.113,0.125,0.145,0.155,0.169,0.193,0.192,0.208,0.218,0.218,0.213,0.222,0.231,0.228,0.21,0.223,0.238,0.243,0.239,0.24,0.233,0.238,0.235,0.234,0.238,0.236,0.232,0.232,0.226
