country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,2.1,2.61,2.93,3.12,3.17,3.31,2.48,3.26,3.22,2.91,2.74,2.94,3.06,3.17,3.07,2.68,2.35,2.28,2.16,2.26,2.22,2.23,2.2,2.18,2.16,2.22,2.17,2.08,2.04,1.99,1.96,2.02,2.02,2.04,2.08,2.14,2.08,2.22,2.44,2.54,2.6,2.55,2.52,2.46,2.18,2.04,1.95,1.79,1.69,1.76,1.69,1.69
Angola,0.106,0.1,0.0837,0.115,0.37,0.747,0.826,0.995,1.12,1.14,1.01,0.957,0.869,0.772,0.833,0.832,0.774,0.669,0.885,0.98,1.08,1.28,1.56,1.94,1.91,1.92,1.95,2.09,1.85,1.98,2.18,2.41,2.42,2.32,2.3,2.24,2.15,2.54,2.35,2.89,3.21,3.44,3.93,4.3,3.89,3.87,3.46,3.46,3.36,3.08,3.18,3.05
Argentina,0.618,0.648,0.696,0.752,0.767,0.834,0.885,0.896,0.857,0.825,0.777,0.771,0.821,0.851,0.877,0.899,0.902,0.882,0.871,0.84,0.795,0.741,0.721,0.746,0.751,0.777,0.78,0.863,0.911,0.999,1.07,1.15,1.21,1.21,1.14,1.12,1.17,1.14,1.13,1.06,1.01,0.999,0.957,0.937,0.834,0.809,0.742,0.738,0.717,0.695,0.687,0.657
Australia,0.0305,0.0382,0.0869,0.158,0.177,0.678,1.17,1.22,1.51,1.48,1.56,1.58,1.66,1.62,1.61,1.49,1.43,1.39,1.34,1.71,1.95,1.71,1.79,1.67,1.55,1.78,1.66,1.61,1.49,1.58,1.48,1.54,1.61,1.51,1.46,1.95,1.78,1.75,1.5,1.29,1.25,1.14,1.17,1.13,1.03,1.11,0.958,0.937,0.769,0.813,0.732,0.644
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.98,1.93,2.02,1.96,1.85,1.73,1.6,1.5,1.35,1.24,1.18,1.16,1.14,1.43,1.72,1.73,1.83,1.85,1.84,1.83,2.6,3.74,4.88,5.05,5.65,5.63,4.99,4.68,4.63,4.43,4.33,4.22
Brazil,0.0604,0.0717,0.0878,0.094,0.0999,0.0922,0.0942,0.0901,0.0892,0.0909,0.0865,0.0823,0.0774,0.0752,0.0761,0.0815,0.093,0.111,0.137,0.188,0.217,0.224,0.218,0.209,0.219,0.229,0.222,0.222,0.222,0.227,0.231,0.258,0.272,0.31,0.344,0.383,0.395,0.436,0.447,0.438,0.476,0.498,0.499,0.514,0.544,0.567,0.574,0.56,0.544,0.6,0.642,0.658
Brunei,38.7,44.4,45.9,51.5,49.8,52.1,47.2,63.8,77,62.8,56.7,63.1,63.5,64.7,67.9,60.4,42.3,42.1,40.9,38.3,36.1,34.6,31.5,29.7,28.7,28.3,29.8,32.3,30,29.9,28.5,26.3,25.3,23.8,27.1,28.5,29.3,29.7,29.8,28.8,27.7,29.3,25.4,22.7,21.5,21.7,20.6,19.6,16.3,15,14.9,14
Canada,2.23,2.4,2.58,2.75,2.95,3.27,3.45,3.91,4.46,4.13,3.52,3.21,3.18,3.13,3.55,3.39,3.04,2.98,3.11,3.28,3.31,3.27,3.4,3.53,3.39,3.35,3.32,3.42,3.56,3.68,3.82,3.9,4.04,4.15,3.97,4.05,4.05,4.23,4.43,4.53,4.41,4.61,4.7,4.58,4.52,4.69,4.92,5.23,5.53,5.88,6,6.01
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,0.91,0.905,0.772,0.7,0.601,0.538,0.539,0.486,0.418,0.332,0.319,0.272,0.266
China,0.0157,0.0196,0.0182,0.0204,0.0271,0.0372,0.0466,0.0528,0.0606,0.0718,0.0837,0.093,0.0984,0.108,0.108,0.107,0.1,0.0999,0.102,0.109,0.117,0.12,0.121,0.121,0.119,0.118,0.119,0.118,0.118,0.119,0.12,0.127,0.127,0.126,0.126,0.127,0.128,0.129,0.13,0.132,0.137,0.139,0.139,0.142,0.14,0.149,0.148,0.151,0.152,0.152,0.154,0.142
Colombia,0.557,0.53,0.496,0.443,0.523,0.533,0.516,0.457,0.42,0.375,0.343,0.314,0.288,0.268,0.246,0.245,0.256,0.263,0.276,0.297,0.307,0.507,0.63,0.606,0.635,0.682,0.647,0.654,0.664,0.655,0.828,0.877,0.901,1.03,1.1,0.898,0.776,0.732,0.676,0.653,0.64,0.636,0.631,0.692,0.778,0.902,1.04,1.06,1.12,1.09,1.1,1
"Congo, Rep.",0.06,0.0509,0.0399,0.0334,0.0181,0.0139,0.00995,0.232,1.4,1.59,1.13,1.28,0.972,1.4,1.55,1.72,2.16,2.33,2.67,2.91,2.79,2.72,2.81,3.04,3.35,3.29,3.21,3.35,3.6,3.51,3.31,3.6,3.91,4.46,4.38,4.19,3.78,3.54,3.14,3.18,3.38,3.7,2.89,2.96,3.31,3.66,3.39,3.09,2.65,2.75,2.59,2.33
Denmark,,,,,,,,0.0196,0.0291,0.0193,0.0289,0.0385,0.0956,0.0763,0.0762,0.0572,0.143,0.323,0.409,0.449,0.572,0.705,0.886,0.916,1.06,1.15,1.34,1.48,1.58,1.73,1.73,1.93,2.12,2.19,2.74,3.32,3.17,3.36,3.33,3.53,3.42,3.09,2.77,2.55,2.33,2.19,1.96,1.78,1.54,1.44,1.35,1.21
Ecuador,0.0817,0.0694,0.0578,0.0469,0.0363,0.0353,0.0343,0.652,1.69,1.4,1.23,1.41,1.33,1.44,1.48,1.38,1.39,1.35,1.49,1.58,1.68,1.71,0.988,1.69,1.53,1.52,1.56,1.63,1.71,1.84,1.84,1.79,1.77,1.68,1.64,1.71,1.7,1.61,1.69,2.1,2.08,2.06,1.93,1.88,1.78,1.75,1.77,1.76,1.8,1.88,1.8,1.79
Egypt,0.21,0.197,0.172,0.257,0.359,0.468,0.417,0.292,0.226,0.194,0.299,0.414,0.509,0.6,0.608,0.675,0.711,0.718,0.765,0.856,0.898,0.797,0.872,0.811,0.795,0.792,0.773,0.766,0.776,0.744,0.731,0.694,0.662,0.638,0.603,0.557,0.528,0.513,0.501,0.462,0.432,0.424,0.425,0.428,0.428,0.416,0.403,0.395,0.383,0.383,0.378,0.354
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218,0.526,0.508,0.687,1.61,5.46,7.25,8.39,9.27,14.6,16.7,18.3,22.8,21.7,19.7,19.2,18.5,15.6,13.3,11.7,12.2,11.5,11.6,11.5,10.7
Gabon,2.38,2.67,6.22,8.2,8.7,9.19,9.63,10.3,12.2,16,17.4,17.1,16.6,15.3,13.8,12.2,10.2,10.2,10,10.8,10.4,9.72,8.81,9.86,11,14.2,15,14.4,14.8,15.9,16.3,16.4,15.9,14.4,14.1,11.2,10.4,9.87,10.3,10,9.62,8.36,8.23,7.81,7.58,7.58,7.38,7.21,6.37,6.18,5.94,5.74
India,0.00607,0.00914,0.0109,0.011,0.0124,0.0123,0.0127,0.0127,0.0121,0.0123,0.0133,0.0136,0.0157,0.0169,0.0189,0.0135,0.021,0.0272,0.034,0.0369,0.0386,0.0396,0.0376,0.0387,0.0404,0.0393,0.0362,0.0322,0.0302,0.0344,0.0382,0.0355,0.0357,0.0341,0.0335,0.0324,0.0318,0.0323,0.0319,0.0323,0.0305,0.031,0.0309,0.0316,0.0313,0.0335,0.0344,0.0337,0.0332,0.0322,0.0314,0.0304
Indonesia,0.245,0.232,0.243,0.279,0.29,0.375,0.382,0.452,0.544,0.545,0.504,0.568,0.619,0.584,0.552,0.536,0.53,0.431,0.447,0.464,0.402,0.418,0.407,0.385,0.402,0.41,0.439,0.409,0.403,0.397,0.388,0.384,0.373,0.361,0.329,0.339,0.318,0.291,0.261,0.248,0.237,0.219,0.205,0.209,0.202,0.2,0.188,0.179,0.169,0.162,0.158,0.165
Iran,3.83,4.17,4.96,5.28,6.1,6.75,7.81,8.44,9.56,9.54,8.23,8.8,8.21,7.36,4.31,1.92,1.65,2.87,2.81,2.25,2.33,2.08,2.28,2.21,2.63,2.9,3.04,3.02,3.12,3.1,3.06,3.03,2.98,2.99,2.74,2.9,2.83,2.64,2.94,3,2.95,2.96,2.96,2.96,2.81,2.84,2.82,2.36,2.19,2.22,2.29,2.7
Iraq,7.72,7.93,6.76,8.02,7.82,7.69,8.14,6.83,9.08,8.6,9.56,9.9,9.31,9.84,12.9,9.6,3.17,3.36,3.67,3.98,4.48,5.85,7.2,8.21,8.16,6.03,0.777,1.42,1.17,1.27,1.29,1.37,2.66,4.7,5.61,5.47,5.11,4.16,2.58,3.8,3.33,3.54,3.7,4.1,4.01,3.95,4.31,4.65,4.52,4.58,5.46,5.89
