country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,,,,0.02,,,0.011,,,0.004,,,,0.011,,0.019,0.013,0.011,0.017,
Algeria,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,0.058,,,,,,,,,,,,,,,,0.005,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,,,,,,,,0.301,,,,,,,,,,0.476
Argentina,,,,,,,,,,,,,,0.004,,,,,,0.0,0.0,,,,0.011,0.021,0.024,0.023,0.041,0.046,0.041,0.046,0.048,0.057,0.094,0.14,0.068,0.052,0.037,0.032,0.026,0.026,0.025,0.022,0.009,0.008,0.007,0.007,,0.007,0.005,0.01
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,,0.193,0.151,0.114,0.079,0.045,0.032,0.028,0.014,0.019,0.019,0.022,0.016,0.022,0.023,0.019,0.018,0.014,0.021
Australia,,,,,,,,,,,,,,,0.01,,,,0.01,,,,0.007,,,,,,0.01,,,,,,0.007,,0.01,0.005,,,,0.004,,0.003,,,,0.005,,,,
Austria,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.002,0.01,,0.002,,,0.002,,,0.003,0.001,0.002,0.001,0.004,0.005,0.007,0.005,0.004,0.006,0.003,0.002,0.007,0.007,0.003,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,,,,,,0.027,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,0.299,,0.254,,,0.378,,,0.442,,,,0.357,,,,,0.348,,,,,0.257,,,,,0.196,,,,,,0.148,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,0.105,0.071,0.032,0.021,0.014,0.003,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,,,,,,,,,,,,,,,,,,,0.002,,,0.005,,,,0.01,,,0.004,,0.005,,,0.003,,,0.003,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,0.099,,0.133,0.16,0.144,0.139,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488,,,,,,,,0.531,,,,0.495,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,,,0.08,,,,,0.022,,,,,0.015,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,,,,,0.193,,0.253,0.286,0.228,0.247,,0.137,0.192,0.164,0.124,0.11,0.104,,0.073,0.082,0.069,0.058,0.064,0.071,0.058,0.045
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,0.002,,,0.001,,,,0.001,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,0.426,,,,,,,,0.348,,,,,,,,,0.298,,,,,,,0.182,,,,,,0.161,,,
