country,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,2.8,3.26,5.97,1.97,1.83,4.32,-0.182,5.42,2.65,3.37,0.645,1.49,1.6,1.7,2.0,0.745,2.48,3.3,1.43,1.94,-4.76,-1.86,11.4,5.2,4.71,4.31,-7.69,6.54,-1.7,-0.28,9.09,6.62,0.766,-4.55,-5.58,5.02,-18.6,-9.86,-0.341,-0.885,7.34,1.22,-5.14,-2.57,28.3,7.31,5.88,5.01,4.95,1.74,-7.15,27.1,12.6,6.55,12.4,4.56,13.6,2.5,20.2,8.04,6.98,14.8,4.47
Albania,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.664,0.664,0.664,0.664,0.664,0.664,0.663,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.663,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.2,2.2,2.2,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.38,1.38,1.37,1.37,1.26,1.47,1.36,1.36,1.35,0.885,0.985,0.879,0.877,0.875,0.972,0.869,1.96,1.35,3.27,2.06,1.48,1.92,0.551,0.641,1.8,1.78,2.2,1.82,1.8,0.87,6.46,2.53,6.77,5.84,8.52,4.11,9.76,7.83,7.44,8.4,4.0,6.51,6.55,6.5,6.66,6.69,6.63,6.4,6.11,6.33,6.58,6.43,7.46,2.69,2.62,2.64,2.64,2.63,2.62,2.81,2.56,2.49,2.54,2.68,2.83,3.22,3.37,3.18,2.68,1.94,-28.9,-8.79,7.38,5.93,11.2,7.66,-11.1,11.8,9.36,6.76,6.89,3.28,6.03,5.97,5.53,5.77,5.85,7.24,3.28,3.36,2.86,2.64,2.06
Algeria,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,2.03,2.02,2.03,2.03,2.02,2.03,2.03,2.03,2.03,2.03,2.02,2.03,2.03,2.03,2.02,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.02,2.03,2.03,2.03,2.02,2.03,2.02,2.03,2.03,2.02,2.03,2.03,2.02,2.03,2.03,2.02,2.03,2.03,2.03,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.955,4.29,1.5,7.12,2.68,9.78,11.4,3.74,18.4,6.87,-12.2,-18.9,25.7,4.25,5.91,-5.36,8.7,11.6,9.71,10.1,-8.38,21.1,3.39,6.24,7.2,6.75,9.19,13.0,9.23,2.02,2.68,6.55,5.27,5.57,5.18,-0.932,-0.573,-2.08,3.42,-1.45,-1.08,1.65,-2.23,-0.999,3.69,3.72,1.02,5.03,3.14,2.45,2.62,4.07,7.04,5.41,5.38,1.72,3.42,2.02,1.7,3.57,2.31,2.58,2.99
Andorra,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,1.82,1.86,1.81,1.85,1.84,1.84,1.83,1.83,1.82,1.86,1.82,1.85,1.84,1.84,1.83,1.83,1.83,1.86,1.82,1.85,1.84,1.84,1.83,1.83,1.83,1.85,1.82,1.84,1.84,1.84,1.83,1.83,1.82,1.85,1.85,1.81,1.84,1.86,1.83,1.82,1.85,1.82,1.84,1.84,1.83,1.86,1.82,1.85,1.84,1.81,1.86,1.83,1.83,1.85,1.82,1.84,1.83,1.83,1.85,1.82,1.84,1.84,1.83,1.83,1.83,1.85,1.84,1.84,1.83,1.83,1.83,1.85,1.84,1.84,1.83,1.83,1.85,1.82,1.84,1.83,1.85,1.83,1.84,1.84,1.83,1.83,1.83,1.84,1.84,1.83,1.83,1.83,1.84,4.49,4.48,4.48,4.49,4.49,4.46,4.5,4.48,4.47,4.49,4.48,4.5,4.47,4.49,4.49,4.48,4.48,4.49,4.47,4.5,4.48,4.47,4.49,4.48,4.48,4.49,4.49,4.48,4.48,4.47,4.49,4.48,4.48,4.49,4.49,4.48,4.48,12.1,12.4,12.5,12.5,12.4,12.2,12.0,11.8,11.6,11.4,11.3,11.0,10.8,10.6,10.3,10.0,9.79,9.6,9.46,9.36,4.67,8.13,7.81,5.6,0.559,3.29,2.84,1.48,0.0309,2.21,-0.135,1.25,1.77,1.79,2.32,3.24,5.54,5.08,4.83,3.83,2.68,1.11,-0.905,2.3,2.4,3.94,8.05,2.25,3.59,1.42,13.0,7.72,8.94,8.64,7.8,4.97,0.161,-4.22,-5.06,-3.43,-2.83,,
Angola,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.09,4.19,4.13,-2.31,8.38,-1.59,9.79,5.46,0.528,4.09,13.5,-2.59,5.29,11.3,7.58,5.82,5.8,-1.54,2.96,6.5,6.01,0.169,8.11,3.15,-5.04,-5.25,0.738,-5.3,0.317,2.73,-4.4,0.0,4.2,6.0,3.5,3.18,7.0,5.57,0.388,-0.445,0.991,-5.84,-24.0,1.34,15.0,20.0,5.5,0.0,3.24,3.01,3.14,14.5,3.3,11.2,20.5,18.6,23.2,13.8,2.39,3.45,3.87,4.96,3.79
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.103,0.103,0.102,0.105,0.102,0.104,0.101,0.104,0.103,0.103,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.661,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,0.103,0.103,0.102,0.105,0.102,0.104,0.101,0.104,0.103,0.103,-0.236,-0.239,-0.235,-0.237,-0.239,-0.236,-0.237,-0.236,-0.238,-0.237,0.0128,0.0149,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,4.98,4.98,4.98,4.98,6.91,5.82,4.94,4.22,3.68,3.3,3.09,3.06,3.21,3.49,3.86,4.21,4.47,4.56,4.53,4.49,4.46,4.38,4.27,4.13,6.34,6.08,7.29,2.7,-5.51,-8.26,8.82,5.33,12.6,7.89,5.44,0.328,6.45,7.1,7.75,8.84,9.51,8.58,6.72,3.25,2.44,1.03,5.4,6.29,-4.19,6.63,5.05,4.45,4.15,1.5,2.2,2.52,5.22,7.21,4.64,12.7,7.01,1.48,-10.7,-7.58,-1.98,3.82,1.46
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,4.66,4.66,4.66,4.66,4.66,2.22,10.6,-5.17,4.52,-1.97,1.66,26.8,12.5,7.31,17.8,0.418,7.02,16.6,10.0,-8.51,-5.4,20.2,6.28,15.9,11.4,11.1,-19.3,8.99,18.5,-11.9,9.67,-1.2,15.8,12.0,14.7,4.24,1.21,9.18,4.14,6.56,1.55,8.16,0.77,-11.8,-1.18,-2.79,-8.21,18.6,3.79,7.85,2.11,8.13,11.9,8.5,-0.546,4.98,7.41,6.44,4.66,-4.44,-6.73,-3.35,4.67,7.8,4.16,0.907,7.51,0.45,4.2,1.38,5.37,1.18,-0.643,11.6,-3.13,8.44,10.8,5.52,-1.08,1.33,3.86,-5.18,5.39,4.21,7.18,2.81,5.25,6.18,-6.59,7.98,7.19,-1.62,-2.42,10.4,9.26,0.619,2.66,4.34,8.66,5.46,3.8,2.08,3.79,5.47,-0.619,-0.0192,6.47,-3.29,7.02,1.53,-5.53,-3.03,4.26,2.23,-6.95,7.47,2.76,-1.8,-7.02,-1.85,10.8,10.0,6.04,6.12,-2.7,5.76,8.34,3.99,-3.38,-0.807,-4.52,-11.1,8.76,8.88,9.08,8.21,8.39,6.5,0.598,8.88,8.59,1.64,3.98
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,-3.2,17.7,-3.14,-6.37,0.276,-7.77,10.2,14.1,14.5,-6.82,10.9,-0.995,3.37,6.85,-1.47,3.2,9.42,-6.26,11.3,-10.9,-3.77,-3.25,9.96,4.54,7.44,-6.97,8.79,5.78,-3.85,3.63,-2.27,-15.9,-15.9,-15.9,-4.2,-4.2,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,5.24,1.6,-0.863,4.48,9.93,15.1,7.54,9.04,0.407,4.77,-3.5,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,11.9,13.8,9.97,9.06,0.671,7.21,5.46,6.26,10.1,11.2,3.66,9.23,0.449,11.2,7.58,4.58,-0.463,15.0,7.63,6.72,6.19,7.6,3.04,9.39,4.18,1.98,9.9,3.34,0.608,4.94,2.52,2.6,-0.421,0.143,0.834,2.26,2.93,0.97,0.708,4.08,1.36,2.0,1.06,-3.82,-14.1,-41.8,-6.86,6.38,6.67,4.41,2.23,6.76,2.74,5.58,9.77,15.4,14.3,11.0,14.4,13.2,13.7,6.86,-14.8,1.42,3.94,7.22,3.27
Australia,-0.0331,-0.0331,-0.0332,-0.0329,-0.033,-0.033,-0.033,-0.0331,-0.0331,-0.0331,-0.0329,-0.0332,-0.033,-0.033,-0.033,-0.0333,-0.0331,-0.0328,-0.0331,-0.0331,0.0,2.31,3.39,6.56,5.13,0.976,2.42,1.89,5.56,22.8,4.29,3.77,3.63,6.69,22.4,0.732,6.54,2.73,-3.1,31.7,-9.01,-5.33,17.7,16.1,5.45,13.0,18.7,18.9,5.78,-0.994,24.8,30.9,22.6,-2.3,5.17,32.2,-4.21,-8.89,33.7,1.19,-0.0261,-1.33,3.27,10.7,-0.601,6.32,11.9,4.8,0.894,7.31,-4.91,10.8,10.5,3.3,11.0,-0.322,4.17,9.54,1.41,5.27,7.36,-5.63,14.8,0.447,6.54,1.26,10.7,0.564,8.63,-3.45,7.68,-12.3,-5.5,3.41,-5.62,7.59,-5.53,15.6,0.0,5.94,-2.97,1.02,7.91,6.71,1.17,6.79,4.06,3.38,8.17,6.97,0.763,3.47,4.62,-0.257,-1.84,-0.694,-1.89,-2.37,5.76,4.27,5.03,5.25,4.8,6.58,4.69,2.39,1.52,0.184,-2.05,-9.52,-6.7,5.66,6.94,5.29,5.88,4.51,5.06,3.39,0.271,6.56,11.2,11.5,3.53,-3.46,-5.02,-3.56,2.46,6.44,6.61,5.76,4.03,1.23,3.53,6.16,5.38,3.32,2.07,4.99,6.19,4.04,0.417,6.34,6.14,6.88,5.27,3.17,7.28,6.35,6.1,6.26,4.3,2.87,5.66,2.46,2.9,4.28,1.04,2.72,5.14,1.84,3.05,-0.468,0.109,7.24,5.3,2.23,5.1,4.5,4.38,1.52,0.184,3.55,3.84,4.15,4.11,3.62,4.4,5.52,4.06,2.04,3.91,3.31,4.33,2.82,3.7,2.93,4.86,2.6,1.64,3.14,2.59,3.19,2.47
Austria,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,2.12,2.09,2.12,2.12,2.08,2.11,2.11,2.13,2.1,2.1,1.5,1.53,1.5,1.53,1.52,0.685,2.36,1.52,1.51,1.51,1.71,1.7,1.7,1.7,1.69,1.71,1.69,1.71,1.7,1.7,1.68,1.68,1.69,1.67,1.69,1.66,1.7,1.65,1.64,1.66,1.35,1.37,1.37,1.36,1.38,1.35,1.37,1.37,1.36,1.16,7.47,0.998,-2.11,4.71,0.724,2.48,3.67,3.55,-0.474,1.61,4.34,0.877,4.37,2.94,-0.395,3.5,7.18,0.0314,-0.714,5.67,3.78,2.46,0.891,6.07,2.91,1.76,2.34,5.86,2.33,1.04,0.627,4.16,1.13,1.77,5.83,4.09,6.39,0.656,-0.11,1.64,3.13,5.02,-0.497,-16.5,-7.24,-1.22,-2.15,-2.06,-15.6,7.37,10.7,8.98,-0.999,11.6,6.78,1.69,3.02,4.65,1.45,-2.76,-8.02,-10.3,-3.32,0.859,1.95,2.98,5.33,12.8,13.4,-2.58,7.16,-5.03,2.43,-6.0,-54.9,16.8,10.3,27.3,18.9,12.4,6.75,0.18,4.31,10.2,11.1,6.96,6.13,3.61,2.8,8.2,5.29,2.43,4.1,6.01,2.88,5.54,2.86,4.46,6.45,7.24,5.09,6.0,4.64,4.01,0.0364,4.79,4.57,-0.404,5.5,2.21,-0.358,1.76,3.13,0.389,2.29,2.38,1.73,3.15,4.22,3.78,2.99,1.88,0.193,2.87,2.19,2.77,1.87,3.54,3.21,3.38,1.01,1.25,1.64,2.83,2.53,3.65,3.75,1.39,-3.77,2.04,2.53,0.521,0.277
