country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.441,0.441,0.441,0.411,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382
Albania,0.706,0.706,0.706,0.72,0.735,0.735,0.735,0.735,0.735,0.765,0.765,0.765,0.765
Algeria,0.353,0.397,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.412,0.412,0.382
Angola,0.265,0.309,0.353,0.339,0.324,0.324,0.324,0.324,0.324,0.324,0.294,0.294,0.294
Argentina,0.824,0.824,0.824,0.809,0.794,0.794,0.794,0.794,0.794,0.794,0.765,0.765,0.824
Armenia,0.618,0.603,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.559,0.559
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,0.912,0.912,0.912,0.912,0.912,0.912,0.941,0.941,0.941,0.941,0.941,0.912,0.882
Azerbaijan,0.559,0.53,0.5,0.485,0.471,0.471,0.471,0.471,0.441,0.382,0.353,0.353,0.353
Bahrain,0.382,0.368,0.353,0.353,0.353,0.265,0.176,0.235,0.235,0.235,0.235,0.235,0.235
Bangladesh,0.735,0.735,0.735,0.72,0.706,0.706,0.706,0.706,0.706,0.676,0.676,0.529,0.5
Belarus,0.353,0.353,0.353,0.353,0.353,0.294,0.235,0.235,0.265,0.265,0.265,0.235,0.235
Belgium,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.882,0.853,0.853
Benin,0.676,0.662,0.647,0.647,0.647,0.647,0.618,0.588,0.588,0.588,0.588,0.559,0.588
Bhutan,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.382,0.382,0.382,0.382
Bolivia,0.765,0.78,0.794,0.765,0.735,0.735,0.735,0.765,0.765,0.765,0.706,0.706,0.706
Bosnia and Herzegovina,0.794,0.794,0.794,0.78,0.765,0.765,0.735,0.735,0.676,0.647,0.618,0.618,0.618
Botswana,0.912,0.927,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.912,0.912
Brazil,0.941,0.941,0.941,0.927,0.912,0.912,0.912,0.912,0.912,0.912,0.882,0.824,0.824
Bulgaria,0.853,0.868,0.882,0.882,0.882,0.853,0.824,0.824,0.824,0.824,0.824,0.794,0.794
Burkina Faso,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.471,0.471,0.5,0.5
Burundi,0.471,0.471,0.471,0.426,0.382,0.382,0.353,0.294,0.294,0.265,0.265,0.235,0.235
Cambodia,0.441,0.441,0.441,0.441,0.441,0.441,0.412,0.412,0.412,0.412,0.412,0.324,0.324
Cameroon,0.382,0.397,0.412,0.397,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.294,0.265
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1
Cape Verde,0.824,0.868,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.882,0.882
Central African Republic,0.265,0.279,0.294,0.279,0.265,0.265,0.294,0.235,0.235,0.235,0.235,0.235,0.235
