country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.306,0.304,0.302,0.275,0.248,0.248,0.248,0.248,0.277,0.277,0.255,0.255,0.297
Albania,0.591,0.591,0.591,0.589,0.586,0.581,0.567,0.567,0.567,0.591,0.591,0.598,0.598
Algeria,0.317,0.325,0.332,0.338,0.344,0.344,0.383,0.383,0.383,0.395,0.356,0.356,0.35
Angola,0.241,0.288,0.335,0.334,0.332,0.332,0.335,0.335,0.335,0.335,0.34,0.362,0.362
Argentina,0.663,0.663,0.663,0.673,0.684,0.684,0.684,0.684,0.684,0.702,0.696,0.696,0.702
Armenia,0.415,0.412,0.409,0.409,0.409,0.409,0.409,0.402,0.413,0.4,0.388,0.411,0.479
Australia,0.909,0.909,0.909,0.915,0.922,0.922,0.922,0.913,0.901,0.901,0.901,0.909,0.909
Austria,0.869,0.859,0.849,0.849,0.849,0.849,0.862,0.848,0.854,0.854,0.841,0.842,0.829
Azerbaijan,0.331,0.325,0.319,0.317,0.315,0.315,0.315,0.306,0.283,0.271,0.265,0.265,0.265
Bahrain,0.353,0.345,0.338,0.344,0.349,0.292,0.253,0.287,0.287,0.279,0.279,0.271,0.271
Bangladesh,0.611,0.581,0.552,0.57,0.587,0.586,0.586,0.586,0.578,0.573,0.573,0.543,0.557
Belarus,0.334,0.334,0.334,0.334,0.334,0.316,0.304,0.304,0.369,0.362,0.354,0.313,0.313
Belgium,0.815,0.815,0.816,0.81,0.805,0.805,0.805,0.805,0.793,0.793,0.777,0.778,0.778
Benin,0.616,0.611,0.606,0.611,0.617,0.606,0.6,0.587,0.565,0.572,0.567,0.561,0.574
Bhutan,0.262,0.346,0.43,0.449,0.468,0.457,0.465,0.482,0.487,0.493,0.493,0.508,0.53
Bolivia,0.598,0.606,0.615,0.604,0.592,0.584,0.584,0.579,0.579,0.575,0.563,0.549,0.57
Bosnia and Herzegovina,0.578,0.574,0.57,0.551,0.532,0.524,0.511,0.502,0.478,0.483,0.487,0.487,0.498
Botswana,0.76,0.753,0.747,0.755,0.763,0.763,0.785,0.798,0.787,0.787,0.787,0.781,0.781
Brazil,0.738,0.738,0.738,0.725,0.712,0.712,0.712,0.712,0.738,0.696,0.69,0.686,0.697
Bulgaria,0.71,0.706,0.702,0.693,0.684,0.678,0.672,0.683,0.673,0.714,0.701,0.703,0.703
Burkina Faso,0.372,0.366,0.36,0.36,0.359,0.359,0.352,0.415,0.409,0.47,0.47,0.475,0.475
Burundi,0.451,0.451,0.451,0.426,0.401,0.401,0.36,0.341,0.333,0.249,0.24,0.233,0.233
Cambodia,0.477,0.482,0.487,0.487,0.487,0.487,0.496,0.46,0.478,0.427,0.427,0.363,0.359
Cameroon,0.327,0.336,0.346,0.344,0.341,0.341,0.344,0.341,0.341,0.366,0.346,0.361,0.328
Canada,0.907,0.907,0.907,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.915,0.915,0.915
Cape Verde,0.743,0.762,0.781,0.788,0.794,0.792,0.792,0.792,0.781,0.781,0.794,0.788,0.788
Central African Republic,0.161,0.174,0.186,0.184,0.182,0.182,0.199,0.149,0.149,0.157,0.161,0.152,0.152
Chad,0.165,0.158,0.152,0.152,0.152,0.162,0.162,0.15,0.15,0.15,0.15,0.15,0.161
Chile,0.789,0.789,0.789,0.778,0.767,0.754,0.754,0.78,0.78,0.784,0.778,0.784,0.797
China,0.297,0.301,0.304,0.309,0.314,0.314,0.3,0.3,0.3,0.314,0.314,0.31,0.332
Colombia,0.64,0.647,0.654,0.655,0.655,0.663,0.663,0.655,0.655,0.662,0.667,0.667,0.696
Comoros,0.39,0.374,0.358,0.35,0.341,0.352,0.352,0.352,0.352,0.371,0.371,0.371,0.371
"Congo, Dem. Rep.",0.276,0.252,0.228,0.221,0.215,0.215,0.192,0.183,0.175,0.211,0.193,0.161,0.149
"Congo, Rep.",0.319,0.306,0.294,0.291,0.289,0.289,0.289,0.289,0.289,0.291,0.291,0.325,0.331
Costa Rica,0.804,0.804,0.804,0.804,0.804,0.81,0.81,0.803,0.803,0.796,0.788,0.788,0.807
Cote d'Ivoire,0.338,0.333,0.327,0.314,0.302,0.308,0.325,0.325,0.353,0.331,0.381,0.393,0.415
Croatia,0.704,0.704,0.704,0.693,0.681,0.673,0.693,0.693,0.693,0.693,0.675,0.663,0.657
Cuba,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.346,0.331,0.3
Cyprus,0.76,0.765,0.77,0.75,0.729,0.729,0.729,0.729,0.74,0.753,0.765,0.759,0.759
Czech Republic,0.817,0.818,0.819,0.819,0.819,0.819,0.819,0.806,0.794,0.794,0.782,0.762,0.769
Denmark,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.938,0.911,0.911,0.92,0.922,0.922
Djibouti,0.237,0.237,0.237,0.229,0.22,0.268,0.274,0.296,0.299,0.29,0.283,0.276,0.287
Dominican Republic,0.613,0.616,0.62,0.62,0.62,0.62,0.649,0.674,0.667,0.667,0.667,0.666,0.654
Ecuador,0.564,0.564,0.564,0.57,0.577,0.572,0.578,0.587,0.587,0.587,0.581,0.602,0.627
Egypt,0.39,0.39,0.389,0.348,0.307,0.395,0.456,0.327,0.316,0.318,0.331,0.336,0.336
El Salvador,0.622,0.631,0.64,0.643,0.647,0.647,0.647,0.653,0.653,0.664,0.664,0.643,0.596
Equatorial Guinea,0.209,0.214,0.219,0.201,0.184,0.177,0.183,0.177,0.166,0.177,0.17,0.181,0.192
Eritrea,0.231,0.231,0.231,0.231,0.231,0.234,0.24,0.24,0.244,0.237,0.237,0.237,0.237
Estonia,0.774,0.771,0.768,0.768,0.768,0.761,0.761,0.761,0.774,0.785,0.785,0.779,0.797
Ethiopia,0.472,0.462,0.452,0.41,0.368,0.379,0.372,0.383,0.372,0.383,0.36,0.342,0.335
Fiji,0.566,0.539,0.511,0.436,0.362,0.367,0.367,0.361,0.561,0.569,0.564,0.585,0.585
Finland,0.925,0.925,0.925,0.922,0.919,0.906,0.906,0.903,0.903,0.903,0.903,0.903,0.914
France,0.807,0.807,0.807,0.792,0.777,0.777,0.788,0.792,0.804,0.792,0.792,0.78,0.78
Gabon,0.272,0.286,0.3,0.314,0.329,0.348,0.356,0.376,0.376,0.376,0.374,0.361,0.361
Gambia,0.439,0.429,0.419,0.379,0.338,0.338,0.331,0.331,0.305,0.297,0.291,0.406,0.431
Germany,0.882,0.882,0.882,0.86,0.838,0.834,0.834,0.831,0.864,0.864,0.863,0.861,0.868
Ghana,0.535,0.535,0.535,0.569,0.602,0.602,0.602,0.633,0.633,0.686,0.675,0.669,0.663
Greece,0.813,0.813,0.813,0.803,0.792,0.765,0.765,0.765,0.745,0.745,0.723,0.729,0.729
Guatemala,0.607,0.607,0.607,0.606,0.605,0.588,0.588,0.581,0.581,0.592,0.592,0.586,0.56
Guinea,0.202,0.206,0.209,0.244,0.279,0.279,0.279,0.284,0.301,0.314,0.314,0.314,0.314
Guinea-Bissau,0.2,0.199,0.199,0.199,0.199,0.199,0.143,0.126,0.193,0.193,0.198,0.198,0.198
Guyana,0.615,0.614,0.612,0.609,0.605,0.605,0.605,0.605,0.591,0.605,0.625,0.646,0.667
Haiti,0.419,0.419,0.419,0.41,0.4,0.4,0.396,0.394,0.382,0.394,0.402,0.403,0.491
Honduras,0.625,0.621,0.618,0.597,0.576,0.584,0.584,0.584,0.584,0.584,0.592,0.572,0.563
Hungary,0.753,0.748,0.744,0.733,0.721,0.704,0.696,0.696,0.69,0.684,0.672,0.664,0.663
Iceland,0.971,0.968,0.965,0.965,0.965,0.965,0.965,0.965,0.958,0.958,0.95,0.958,0.958
India,0.768,0.774,0.78,0.754,0.728,0.73,0.752,0.769,0.792,0.774,0.781,0.723,0.723
Indonesia,0.641,0.638,0.634,0.643,0.653,0.653,0.676,0.682,0.695,0.703,0.697,0.639,0.639
Iran,0.293,0.288,0.283,0.239,0.194,0.198,0.198,0.198,0.198,0.216,0.234,0.245,0.245
Iraq,0.401,0.4,0.4,0.4,0.4,0.403,0.41,0.41,0.423,0.408,0.408,0.409,0.406
Ireland,0.901,0.901,0.901,0.89,0.879,0.856,0.856,0.868,0.872,0.885,0.915,0.915,0.915
Israel,0.728,0.738,0.748,0.748,0.748,0.753,0.753,0.753,0.763,0.777,0.785,0.779,0.779
Italy,0.773,0.785,0.798,0.79,0.783,0.774,0.774,0.785,0.785,0.798,0.798,0.798,0.771
Jamaica,0.734,0.728,0.721,0.721,0.721,0.713,0.739,0.739,0.739,0.739,0.739,0.729,0.702
Japan,0.815,0.82,0.825,0.817,0.808,0.808,0.808,0.808,0.808,0.796,0.799,0.788,0.799
Jordan,0.392,0.393,0.393,0.384,0.374,0.389,0.376,0.376,0.376,0.386,0.396,0.387,0.393
Kazakhstan,0.362,0.354,0.345,0.338,0.33,0.324,0.295,0.306,0.317,0.306,0.306,0.306,0.294
Kenya,0.508,0.494,0.479,0.475,0.471,0.471,0.471,0.513,0.513,0.533,0.533,0.511,0.511
Kuwait,0.309,0.324,0.339,0.364,0.388,0.374,0.378,0.378,0.378,0.385,0.385,0.385,0.385
Kyrgyz Republic,0.408,0.406,0.405,0.418,0.431,0.434,0.469,0.469,0.524,0.533,0.493,0.511,0.511
Lao,0.21,0.21,0.21,0.21,0.21,0.21,0.232,0.221,0.221,0.221,0.237,0.237,0.237
Latvia,0.737,0.73,0.723,0.714,0.705,0.705,0.705,0.705,0.748,0.737,0.731,0.725,0.738
Lebanon,0.582,0.572,0.562,0.572,0.582,0.532,0.505,0.505,0.512,0.486,0.486,0.472,0.463
Lesotho,0.648,0.639,0.629,0.615,0.602,0.633,0.666,0.666,0.666,0.659,0.659,0.664,0.664
Liberia,0.522,0.524,0.525,0.516,0.507,0.507,0.495,0.495,0.495,0.495,0.531,0.523,0.535
Libya,0.184,0.192,0.2,0.197,0.194,0.355,0.515,0.482,0.38,0.225,0.225,0.232,0.219
Lithuania,0.743,0.74,0.736,0.73,0.724,0.724,0.724,0.754,0.754,0.754,0.747,0.741,0.75
Luxembourg,0.91,0.91,0.91,0.899,0.888,0.888,0.888,0.888,0.888,0.888,0.881,0.881,0.881
Madagascar,0.582,0.57,0.557,0.475,0.394,0.393,0.393,0.432,0.442,0.485,0.507,0.511,0.522
Malawi,0.497,0.505,0.513,0.549,0.584,0.584,0.608,0.6,0.566,0.555,0.555,0.549,0.549
Malaysia,0.598,0.617,0.636,0.628,0.619,0.619,0.641,0.649,0.649,0.643,0.654,0.654,0.688
Mali,0.599,0.593,0.587,0.594,0.601,0.636,0.512,0.59,0.579,0.57,0.57,0.564,0.541
Malta,0.839,0.839,0.839,0.833,0.828,0.828,0.828,0.828,0.839,0.839,0.839,0.815,0.821
Mauritania,0.312,0.351,0.391,0.389,0.386,0.417,0.417,0.417,0.417,0.396,0.396,0.382,0.382
Mauritius,0.804,0.804,0.804,0.804,0.804,0.804,0.817,0.817,0.817,0.828,0.828,0.822,0.822
Mexico,0.667,0.673,0.678,0.685,0.693,0.693,0.69,0.691,0.668,0.655,0.647,0.641,0.619
Moldova,0.65,0.65,0.65,0.642,0.633,0.633,0.632,0.632,0.632,0.635,0.601,0.594,0.585
Mongolia,0.66,0.66,0.66,0.648,0.636,0.623,0.635,0.651,0.662,0.662,0.662,0.65,0.65
Montenegro,0.657,0.65,0.643,0.635,0.627,0.615,0.605,0.594,0.594,0.601,0.572,0.569,0.574
Morocco,0.39,0.389,0.388,0.384,0.379,0.383,0.407,0.407,0.4,0.466,0.477,0.487,0.499
Mozambique,0.528,0.539,0.549,0.52,0.49,0.49,0.488,0.477,0.466,0.46,0.402,0.402,0.385
Myanmar,0.177,0.177,0.177,0.177,0.177,0.177,0.235,0.276,0.305,0.414,0.42,0.383,0.383
Namibia,0.654,0.651,0.648,0.635,0.623,0.624,0.624,0.624,0.624,0.631,0.631,0.631,0.625
Nepal,0.342,0.374,0.405,0.415,0.424,0.424,0.416,0.477,0.477,0.477,0.486,0.518,0.518
Netherlands,0.966,0.96,0.953,0.926,0.899,0.899,0.899,0.884,0.892,0.892,0.88,0.889,0.889
New Zealand,0.901,0.91,0.919,0.923,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
Nicaragua,0.568,0.588,0.607,0.59,0.573,0.556,0.556,0.546,0.532,0.526,0.481,0.466,0.363
Niger,0.354,0.348,0.341,0.34,0.338,0.416,0.416,0.408,0.402,0.385,0.396,0.376,0.376
Nigeria,0.352,0.353,0.353,0.35,0.347,0.383,0.377,0.377,0.376,0.462,0.45,0.444,0.444
North Korea,0.103,0.0945,0.086,0.097,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108
North Macedonia,0.633,0.627,0.621,0.619,0.616,0.616,0.616,0.616,0.625,0.602,0.523,0.557,0.587
Norway,0.955,0.962,0.968,0.974,0.98,0.98,0.993,0.993,0.993,0.993,0.993,0.987,0.987
Oman,0.277,0.288,0.298,0.292,0.286,0.326,0.326,0.326,0.315,0.304,0.304,0.304,0.304
Pakistan,0.392,0.419,0.446,0.45,0.455,0.455,0.457,0.464,0.464,0.44,0.433,0.426,0.417
Palestine,0.601,0.592,0.583,0.564,0.544,0.497,0.48,0.48,0.472,0.457,0.449,0.446,0.439
Panama,0.735,0.735,0.735,0.725,0.715,0.708,0.708,0.708,0.708,0.719,0.713,0.708,0.705
Papua New Guinea,0.654,0.654,0.654,0.654,0.654,0.632,0.632,0.636,0.603,0.603,0.603,0.603,0.603
Paraguay,0.616,0.628,0.64,0.64,0.64,0.64,0.626,0.626,0.626,0.633,0.627,0.631,0.624
Peru,0.611,0.621,0.631,0.635,0.64,0.659,0.647,0.654,0.654,0.658,0.665,0.649,0.66
Philippines,0.648,0.63,0.612,0.612,0.612,0.612,0.63,0.641,0.677,0.684,0.694,0.671,0.671
