country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.222,0.222,0.222,0.25,0.278,0.278,0.278,0.278,0.389,0.389,0.278,0.278,0.444
Albania,0.444,0.444,0.444,0.444,0.444,0.5,0.5,0.5,0.5,0.556,0.556,0.556,0.556
Algeria,0.222,0.194,0.167,0.223,0.278,0.278,0.389,0.389,0.389,0.389,0.389,0.389,0.389
Angola,0.111,0.25,0.389,0.416,0.444,0.444,0.5,0.5,0.5,0.5,0.556,0.556,0.556
Argentina,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.611,0.611,0.611,0.611
Armenia,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.444,0.444,0.444,0.5,0.556
Australia,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
Austria,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.833,0.833,0.833,0.833,0.833
Azerbaijan,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
Bahrain,0.278,0.25,0.222,0.25,0.278,0.333,0.278,0.278,0.278,0.278,0.278,0.278,0.278
Bangladesh,0.444,0.444,0.444,0.444,0.444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.556
Belarus,0.333,0.333,0.333,0.333,0.333,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389
Belgium,0.667,0.639,0.611,0.584,0.556,0.556,0.556,0.556,0.556,0.556,0.5,0.5,0.5
Benin,0.389,0.416,0.444,0.472,0.5,0.444,0.444,0.444,0.444,0.444,0.5,0.5,0.5
Bhutan,0.111,0.222,0.333,0.361,0.389,0.333,0.333,0.333,0.278,0.278,0.278,0.278,0.278
Bolivia,0.444,0.472,0.5,0.528,0.556,0.611,0.611,0.556,0.556,0.5,0.5,0.5,0.556
Bosnia and Herzegovina,0.444,0.444,0.444,0.389,0.333,0.333,0.333,0.333,0.333,0.389,0.5,0.5,0.556
Botswana,0.5,0.5,0.5,0.528,0.556,0.556,0.667,0.667,0.611,0.611,0.611,0.611,0.611
Brazil,0.444,0.444,0.444,0.472,0.5,0.5,0.5,0.5,0.444,0.556,0.556,0.611,0.667
Bulgaria,0.667,0.639,0.611,0.611,0.611,0.611,0.611,0.667,0.556,0.722,0.722,0.722,0.722
Burkina Faso,0.278,0.278,0.278,0.25,0.222,0.222,0.222,0.333,0.333,0.444,0.444,0.444,0.444
Burundi,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389
Cambodia,0.278,0.278,0.278,0.278,0.278,0.278,0.333,0.278,0.333,0.333,0.333,0.222,0.278
Cameroon,0.278,0.25,0.222,0.25,0.278,0.278,0.333,0.389,0.389,0.389,0.389,0.389,0.333
Canada,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
Cape Verde,0.5,0.584,0.667,0.667,0.667,0.722,0.722,0.722,0.667,0.667,0.667,0.667,0.667
Central African Republic,0.167,0.167,0.167,0.139,0.111,0.111,0.167,0.167,0.167,0.167,0.111,0.111,0.111
Chad,0,0,0,0,0,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.167
Chile,0.5,0.5,0.5,0.445,0.389,0.389,0.389,0.389,0.389,0.444,0.444,0.444,0.444
China,0.278,0.278,0.278,0.334,0.389,0.389,0.389,0.389,0.389,0.333,0.333,0.278,0.389
Colombia,0.5,0.5,0.5,0.445,0.389,0.389,0.389,0.389,0.389,0.389,0.444,0.444,0.5
Comoros,0.444,0.444,0.444,0.389,0.333,0.389,0.389,0.389,0.389,0.444,0.444,0.444,0.444
"Congo, Dem. Rep.",0.278,0.25,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.278,0.278,0.222,0.222
"Congo, Rep.",0.222,0.278,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.389,0.389
Costa Rica,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.667,0.667
Cote d'Ivoire,0.333,0.306,0.278,0.278,0.278,0.444,0.5,0.5,0.5,0.389,0.333,0.333,0.333
Croatia,0.611,0.611,0.611,0.584,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556
Cuba,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.333
Cyprus,0.667,0.667,0.667,0.639,0.611,0.611,0.611,0.611,0.667,0.667,0.667,0.667,0.667
Czech Republic,0.722,0.695,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
Denmark,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.833,0.833,0.833,0.833,0.833
Djibouti,0.056,0.056,0.056,0.0835,0.111,0.222,0.222,0.333,0.333,0.333,0.333,0.333,0.389
Dominican Republic,0.333,0.333,0.333,0.306,0.278,0.278,0.444,0.5,0.5,0.5,0.5,0.611,0.611
Ecuador,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.556,0.611
Egypt,0.278,0.361,0.444,0.361,0.278,0.5,0.5,0.5,0.5,0.333,0.333,0.333,0.333
El Salvador,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.444,0.444,0.556,0.556
