Entity,Code,Year,Percentage reduction in Gini coefficient (before vs. after tax)
Australia,AUS,2012,29.589632
Australia,AUS,2014,30.227741
Australia,AUS,2016,29.637524
Australia,AUS,2018,28.4141
Australia,AUS,2020,27.891163
Austria,AUT,2007,41.4433
Austria,AUT,2008,42.740284
Austria,AUT,2009,42.544735
Austria,AUT,2010,43.548386
Austria,AUT,2011,43.11741
Austria,AUT,2012,44.01623
Austria,AUT,2013,43.43434
Austria,AUT,2014,44.308945
Austria,AUT,2015,44.331978
Austria,AUT,2016,43.199997
Austria,AUT,2017,43.29897
Austria,AUT,2018,43.319836
Austria,AUT,2019,43.621403
Austria,AUT,2020,44.827583
Belgium,BEL,2018,47.346943
Belgium,BEL,2019,46.42127
Belgium,BEL,2020,49.490837
Brazil,BRA,2006,14.453785
Brazil,BRA,2009,15.652169
Brazil,BRA,2011,16.753023
Brazil,BRA,2013,18.43478
Brazil,BRA,2016,17.353954
Bulgaria,BGR,2006,27.066118
Bulgaria,BGR,2007,25.154642
Bulgaria,BGR,2008,26.666662
Bulgaria,BGR,2009,27.152317
Bulgaria,BGR,2010,26.88889
Bulgaria,BGR,2011,26.565874
Bulgaria,BGR,2012,24.255318
Bulgaria,BGR,2013,27.310059
Bulgaria,BGR,2014,25.000006
Bulgaria,BGR,2015,27.499998
Bulgaria,BGR,2016,24.150938
Bulgaria,BGR,2017,25.330809
Bulgaria,BGR,2018,22.727274
Bulgaria,BGR,2019,23.135754
Bulgaria,BGR,2020,24.137934
Canada,CAN,1976,20.887726
Canada,CAN,1977,21.46739
Canada,CAN,1978,21.390377
Canada,CAN,1979,20.604393
Canada,CAN,1980,21.680214
Canada,CAN,1981,21.739134
Canada,CAN,1982,24.547804
Canada,CAN,1983,25.373135
Canada,CAN,1984,25.935163
Canada,CAN,1985,25.38071
Canada,CAN,1986,25.634512
Canada,CAN,1987,25.765303
Canada,CAN,1988,26.666658
Canada,CAN,1989,26.614985
Canada,CAN,1990,28.109451
Canada,CAN,1991,29.69121
Canada,CAN,1992,30.841122
Canada,CAN,1993,32.400932
Canada,CAN,1994,32.482594
Canada,CAN,1995,31.701628
Canada,CAN,1996,31.121284
Canada,CAN,1997,30.434788
Canada,CAN,1998,30.18018
Canada,CAN,1999,29.357798
Canada,CAN,2000,27.91762
Canada,CAN,2001,27.790434
Canada,CAN,2002,27.62557
Canada,CAN,2003,27.752293
Canada,CAN,2004,27.045452
Canada,CAN,2005,27.251732
Canada,CAN,2006,26.682129
Canada,CAN,2007,26.620373
Canada,CAN,2008,26.573425
Canada,CAN,2009,27.52293
Canada,CAN,2010,28.181816
Canada,CAN,2011,27.546299
Canada,CAN,2012,26.450115
Canada,CAN,2013,26.497692
Canada,CAN,2014,26.588238
Canada,CAN,2015,26.728111
Canada,CAN,2016,28.438225
Canada,CAN,2017,29.061785
Canada,CAN,2018,28.971964
Canada,CAN,2019,28.571424
Canada,CAN,2020,36.07306
Chile,CHL,2009,6.432753
Chile,CHL,2011,6.175297
Chile,CHL,2013,6.626505
Chile,CHL,2015,6.5843635
Chile,CHL,2017,7.070706
Costa Rica,CRI,2010,6.5346518
Costa Rica,CRI,2011,6.796116
Costa Rica,CRI,2012,6.756756
Costa Rica,CRI,2013,6.79245
Costa Rica,CRI,2014,7.0881224
Costa Rica,CRI,2015,8.413002
Costa Rica,CRI,2016,9.193245
Costa Rica,CRI,2017,9.433959
Costa Rica,CRI,2018,9.792847
Costa Rica,CRI,2019,10.15038
Costa Rica,CRI,2020,13.715273
Costa Rica,CRI,2021,11.615248
Croatia,HRV,2009,36.139633
Croatia,HRV,2010,37.854248
Croatia,HRV,2011,38.08554
Croatia,HRV,2012,38.036808
Croatia,HRV,2013,38.71636
Croatia,HRV,2014,39.10387
Croatia,HRV,2015,39.00415
Croatia,HRV,2016,37.916664
Croatia,HRV,2017,37.341774
Croatia,HRV,2018,37.259098
Croatia,HRV,2019,36.465324
Croatia,HRV,2020,37.01299
Czechia,CZE,2004,42.826553
Czechia,CZE,2005,43.383945
Czechia,CZE,2006,43.478264
Czechia,CZE,2007,43.111107
Czechia,CZE,2008,41.666664
Czechia,CZE,2009,42.247192
Czechia,CZE,2010,42.093544
Czechia,CZE,2011,43.516483
Czechia,CZE,2012,43.92936
Czechia,CZE,2013,43.817787
Czechia,CZE,2014,44.130436
Czechia,CZE,2015,43.913048
Czechia,CZE,2016,43.52679
Czechia,CZE,2017,42.75862
Czechia,CZE,2018,42.22738
