Entity,Code,Year,Social expenditure on family (% of GDP) (OECD Stats (2019)),Social expenditure on health (% of GDP) (OECD Stats (2019)),Social expenditure on housing (% of GDP) (OECD Stats (2019)),Incapacity related social expenditures (% of GDP) (OECD Stats (2019)),Old age related social expenditures (% of GDP) (OECD Stats (2019)),Social expenditure on other social policy areas (% of GDP) (OECD Stats (2019)),Social expenditure on survivors (% of GDP) (OECD Stats (2019)),Social expenditure on unemployment (% of GDP) (OECD Stats (2019)),Social expenditure on active labor market policies (% of GDP) (OECD Stats (2019))
Australia,AUS,1980,0.94499999,3.6689999,0.25600001,0.917,3.105,0.162,0.55599999,0.65499997,
Australia,AUS,1985,1.1440001,4.3470001,0.34299999,1.038,2.9690001,0.18000001,0.51300001,1.2,0.354
Australia,AUS,1990,1.51,4.289,0.249,1.732,3.3759999,0.37200001,0.29899999,1.1,0.214
Australia,AUS,1995,2.721,4.6020002,0.29499999,2.3640001,4.5710001,0.17299999,0.273,1.1900001,0.72500002
Australia,AUS,2000,2.908,5.2080002,0.244,2.5610001,5.6560001,0.16,0.229,0.92699999,0.361
Australia,AUS,2005,2.7490001,5.4689999,0.24600001,2.2720001,4.7129998,0.139,0.206,0.54699999,0.36700001
Australia,AUS,2010,2.559,5.796,0.373,2.3329999,4.289,0.249,0.16500001,0.50400001,0.32699999
Australia,AUS,2015,2.654,6.3600001,0.391,2.5409999,5.1810002,0.37400001,0.121,0.68300003,0.23100001
Australia,AUS,2016,2.4059999,6.3200002,0.366,2.359,5.046,0.32499999,0.105,0.64499998,0.237
Austria,AUT,1980,3.164,4.7199998,0.096000001,2.723,9.8889999,0.206,0.70999998,0.398,
Austria,AUT,1985,2.8540001,4.4819999,0.15000001,2.7950001,10.843,0.24600001,0.64700001,0.91100001,0.278
Austria,AUT,1990,2.53,4.9770002,0.094999999,2.599,8.8389997,0.296,2.598,0.90100002,0.31400001
Austria,AUT,1995,3.2650001,5.6329999,0.071000002,2.8280001,9.908,0.42199999,2.5179999,1.26,0.37099999
Austria,AUT,2000,2.9289999,5.9239998,0.101,2.704,10.083,0.292,2.2279999,0.92199999,0.50400001
Austria,AUT,2005,2.888,6.119,0.119,2.4100001,10.356,0.35299999,1.999,1.1059999,0.602
Austria,AUT,2010,2.9530001,6.461,0.156,2.3280001,11.584,0.38100001,1.892,0.995,0.81400001
Austria,AUT,2015,2.645,6.5149999,0.12,2.135,12.191,0.56099999,1.745,1.058,0.73199999
Austria,AUT,2016,,6.5970001,,,,,,,0.759
Belgium,BEL,1980,2.9360001,5.125,,3.6140001,5.8309999,0.248,2.9430001,2.382,
Belgium,BEL,1985,2.5450001,5.599,,3.6329999,6.2090001,0.25099999,2.9579999,3.2060001,1.152
Belgium,BEL,1990,2.211,6.3200002,,2.563,6.4109998,0.45699999,2.5569999,2.8239999,1.073
Belgium,BEL,1995,2.2260001,5.743,,2.9000001,6.881,0.68699998,2.3659999,3.175,1.191
Belgium,BEL,2000,2.45,5.9250002,0.033,1.9910001,6.7680001,0.68300003,2.0739999,2.7349999,0.82499999
Belgium,BEL,2005,2.5739999,6.901,0.064999998,2.0910001,6.987,0.792,1.965,3.2079999,0.64700001
Belgium,BEL,2010,2.8110001,7.6820002,0.215,2.5090001,8.0109997,0.796,1.992,3.5079999,0.76099998
Belgium,BEL,2015,2.823,7.9229999,0.233,2.9300001,9.1169996,0.653,1.8430001,2.948,0.71799999
Canada,CAN,1980,0.736,4.8379998,0.74800003,0.71399999,2.921,1.944,0.206,1.2,0.28099999
Canada,CAN,1985,0.68199998,5.6599998,0.66100001,0.91299999,3.497,2.2820001,0.32300001,1.802,0.597
Canada,CAN,1990,0.57800001,6.2199998,0.63700002,1.148,3.8099999,2.425,0.405,1.846,0.47799999
Canada,CAN,1995,0.88700002,6.0219998,0.61699998,1.135,4.1539998,3.27,0.472,1.258,0.53899997
Canada,CAN,2000,0.88599998,5.7410002,0.55699998,0.93900001,3.8900001,2.4130001,0.42300001,0.67500001,0.366
