Entity,Code,Year,Social Expenditure %GDP - (OWID extrapolated series),Social Expenditure %GDP - OECD (1985),Social Expenditure %GDP - OECD (SOCX),Social Expenditure %GDP - Lindert_Historical (2004),Social Expenditure %GDP - Lindert_OECD_Old (2004),Social Expenditure %GDP - Lindert_OECD_New (2004)
Australia,AUS,1880,0,,,0,,
Australia,AUS,1890,0,,,0,,
Australia,AUS,1900,0,,,0,,
Australia,AUS,1910,1.12,,,1.12,,
Australia,AUS,1920,1.66,,,1.66,,
Australia,AUS,1930,2.11,,,2.11,,
Australia,AUS,1960,5.93012553,7.388657043,,,7.39,
Australia,AUS,1961,6.333481916,7.891220099,,,,
Australia,AUS,1962,6.285261018,7.831139131,,,,
Australia,AUS,1963,6.199258799,7.723984418,,,,
Australia,AUS,1964,5.976754619,7.446754692,,,,
Australia,AUS,1965,6.059972782,7.550440603,,,,
Australia,AUS,1966,5.921643458,7.378088782,,,,
Australia,AUS,1967,5.652750976,7.043061417,,,,
Australia,AUS,1968,5.676263156,7.072356485,,,,
Australia,AUS,1969,5.849024071,7.287608447,,,,
Australia,AUS,1970,5.914159614,7.368764265,,,7.37,
Australia,AUS,1971,6.211192705,7.738853503,,,,
Australia,AUS,1972,6.638595805,8.271377631,,,,
Australia,AUS,1973,7.012542058,8.737297045,,,,
Australia,AUS,1974,8.39848658,10.46411863,,,,
Australia,AUS,1975,10.15894538,12.65756735,,,,
Australia,AUS,1976,10.59740856,13.20387182,,,,
Australia,AUS,1977,10.9222346,13.60858977,,,,
Australia,AUS,1978,10.6378896,13.25430929,,,,
Australia,AUS,1979,10.29641421,12.82884704,,,,
Australia,AUS,1980,10.268,12.79344428,10.268,,12.79,10.9
Australia,AUS,1985,12.088,,12.088,,,
Australia,AUS,1990,13.131,,13.131,,,13.57
Australia,AUS,1995,16.871,,16.871,,,14.84
Australia,AUS,2000,18.242,,18.242,,,
Australia,AUS,2005,16.681,,16.681,,,
Australia,AUS,2010,16.706,,16.706,,,
Australia,AUS,2013,18.109,,18.109,,,
Australia,AUS,2014,18.697,,18.697,,,
Australia,AUS,2015,18.794,,18.794,,,
Australia,AUS,2016,19.146,,19.146,,,
Australia,AUS,1981,,13.04127405,,,,
Austria,AUT,1880,0,,,0,,
Austria,AUT,1890,0,,,0,,
Austria,AUT,1900,0,,,0,,
Austria,AUT,1910,0,,,0,,
Austria,AUT,1920,0,,,0,,
Austria,AUT,1930,1.2,,,1.2,,
Austria,AUT,1960,14.99186298,15.88383373,,,15.88,
Austria,AUT,1961,14.99976284,15.89220362,,,,
Austria,AUT,1962,15.90124034,16.84731631,,,,
Austria,AUT,1963,16.29504608,17.26455231,,,,
Austria,AUT,1964,16.2562269,17.2234235,,,,
Austria,AUT,1965,16.46515979,17.44478727,,,,
Austria,AUT,1966,16.70533011,17.699247,,,,
Austria,AUT,1967,17.5085993,18.5503083,,,,
Austria,AUT,1968,17.04526279,18.05940465,,,,
Austria,AUT,1969,17.88484547,18.94893998,,,,
Austria,AUT,1970,17.84083333,18.90230925,,,18.9,
Austria,AUT,1971,17.98526652,19.05533578,,,,
Austria,AUT,1972,17.83411503,18.89519122,,,,
Austria,AUT,1973,17.67992692,18.73182939,,,,
Austria,AUT,1974,18.13958036,19.21883083,,,,
Austria,AUT,1975,19.78976937,20.96720112,,,,
Austria,AUT,1976,20.49304033,21.71231459,,,,
Austria,AUT,1977,20.49407434,21.71341012,,,,
Austria,AUT,1978,22.12682645,23.44330607,,,,
Austria,AUT,1979,22.07379021,23.38711433,,,,
Austria,AUT,1980,21.959,23.26549445,21.959,,23.27,23.43
Austria,AUT,1985,23.261,,23.261,,,
Austria,AUT,1990,23.205,,23.205,,,24.54
Austria,AUT,1995,25.998,,25.998,,,21.39
Austria,AUT,2000,25.487,,25.487,,,
Austria,AUT,2005,25.936,,25.936,,,
Austria,AUT,2010,27.577,,27.577,,,
Austria,AUT,2013,27.559,,27.559,,,
Austria,AUT,2014,27.854,,27.854,,,
Austria,AUT,2015,28.03,,28.03,,,
Austria,AUT,2016,27.786,,27.786,,,
Austria,AUT,1981,,23.87873636,,,,
Belgium,BEL,1880,0.17,,,0.17,,
Belgium,BEL,1890,0.22,,,0.22,,
Belgium,BEL,1900,0.26,,,0.26,,
Belgium,BEL,1910,0.43,,,0.43,,
Belgium,BEL,1920,0.52,,,0.52,,
Belgium,BEL,1930,0.56,,,0.56,,
Belgium,BEL,1960,10.02010637,13.14135938,,,13.14,
Belgium,BEL,1961,10.48927026,13.75666734,,,,
Belgium,BEL,1962,10.99132453,14.41511101,,,,
Belgium,BEL,1963,11.41547067,14.97137825,,,,
Belgium,BEL,1964,11.42834488,14.98826276,,,,
Belgium,BEL,1965,12.24171024,16.0549906,,,,
Belgium,BEL,1966,12.98460026,17.02929011,,,,
Belgium,BEL,1967,13.38371551,17.55272937,,,,
Belgium,BEL,1968,14.40560157,18.8929319,,,,
Belgium,BEL,1969,14.41783948,18.9089819,,,,
Belgium,BEL,1970,14.68352941,19.25743398,,,19.26,
Belgium,BEL,1971,14.96647344,19.62851478,,,,
Belgium,BEL,1972,15.86459354,20.80639838,,,,
Belgium,BEL,1973,16.28269833,21.3547424,,,,
Belgium,BEL,1974,16.89191045,22.15372348,,,,
Belgium,BEL,1975,20.39080258,26.74251697,,,,
Belgium,BEL,1976,21.38051374,28.04052215,,,,
Belgium,BEL,1977,22.55010485,29.57443972,,,,
Belgium,BEL,1978,22.81756082,29.92520794,,,,
Belgium,BEL,1979,23.00717358,30.1738849,,,,
Belgium,BEL,1980,23.079,30.26808517,23.079,,30.38,22.45
Belgium,BEL,1985,25.552,,25.552,,,
Belgium,BEL,1990,24.417,,24.417,,,23.11
Belgium,BEL,1995,25.169,,25.169,,,27.13
Belgium,BEL,2000,23.5,,23.5,,,
Belgium,BEL,2005,25.27,,25.27,,,
Belgium,BEL,2010,28.302,,28.302,,,
Belgium,BEL,2013,29.324,,29.324,,,
Belgium,BEL,2014,29.174,,29.174,,,
Belgium,BEL,2015,29.17,,29.17,,,
Belgium,BEL,2016,29.005,,29.005,,,
Canada,CAN,1880,0,,,0,,
Canada,CAN,1890,0,,,0,,
Canada,CAN,1900,0,,,0,,
Canada,CAN,1910,0,,,0,,
Canada,CAN,1920,0.06,,,0.06,,
Canada,CAN,1930,0.31,,,0.31,,
Canada,CAN,1960,8.117736532,9.124483471,,,9.12,
Canada,CAN,1961,8.396542221,9.437866135,,,,
Canada,CAN,1962,8.357319358,9.393778924,,,,
Canada,CAN,1963,8.290315209,9.318465042,,,,
Canada,CAN,1964,8.196586418,9.213112177,,,,
Canada,CAN,1965,7.937770546,8.92219843,,,,
Canada,CAN,1966,8.075592063,9.077112322,,,,
Canada,CAN,1967,8.829456762,9.924469952,,,,
Canada,CAN,1968,9.369240535,10.53119673,,,,
Canada,CAN,1969,9.720853383,10.92641596,,,,
Canada,CAN,1970,10.48436839,11.78462072,,,11.8,
Canada,CAN,1971,11.36838633,12.77827295,,,,
Canada,CAN,1972,12.12909131,13.63331918,,,,
Canada,CAN,1973,12.14316779,13.64914141,,,,
Canada,CAN,1974,12.53374604,14.08815845,,,,
Canada,CAN,1975,13.67648823,15.37262145,,,,
Canada,CAN,1976,13.37451818,15.03320163,,,,
Canada,CAN,1977,13.595433,15.2815139,,,,
Canada,CAN,1978,13.39408899,15.05519958,,,,
Canada,CAN,1979,12.90118654,14.50116825,,,,
Canada,CAN,1980,13.306,14.95618595,13.306,,14.96,12.91
Canada,CAN,1985,16.418,,16.418,,,
Canada,CAN,1990,17.546,,17.546,,,17.38
Canada,CAN,1995,18.354,,18.354,,,18.09
Canada,CAN,2000,15.763,,15.763,,,
Canada,CAN,2005,16.138,,16.138,,,
Canada,CAN,2010,17.547,,17.547,,,
Canada,CAN,2013,16.878,,16.878,,,
Canada,CAN,2014,16.818,,16.818,,,
Canada,CAN,2015,17.213,,17.213,,,
Canada,CAN,1981,,14.99136482,,,,
Chile,CHL,1990,9.83,,9.83,,,
Chile,CHL,1995,11.014,,11.014,,,
Chile,CHL,2000,12.737,,12.737,,,
Chile,CHL,2005,8.692,,8.692,,,
Chile,CHL,2010,10.466,,10.466,,,
Chile,CHL,2013,10.002,,10.002,,,
Chile,CHL,2014,10.52,,10.52,,,
Chile,CHL,2015,11.18,,11.18,,,
Czechia,CZE,1990,14.169,,14.169,,,
Czechia,CZE,1995,16.129,,16.129,,,
Czechia,CZE,2000,17.962,,17.962,,,
Czechia,CZE,2005,18.112,,18.112,,,
Czechia,CZE,2010,19.766,,19.766,,,
Czechia,CZE,2013,20.261,,20.261,,,
Czechia,CZE,2014,19.897,,19.897,,,
Czechia,CZE,2015,19.475,,19.475,,,
Czechia,CZE,2016,19.437,,19.437,,,
Denmark,DNK,1880,0.96,,,0.96,,
Denmark,DNK,1890,1.11,,,1.11,,
Denmark,DNK,1900,1.41,,,1.41,,
Denmark,DNK,1910,1.75,,,1.75,,
Denmark,DNK,1920,2.71,,,2.71,,
Denmark,DNK,1930,3.11,,,3.11,,
Denmark,DNK,1960,9.46270583,,,,12.26,
Denmark,DNK,1970,14.76521717,19.12802313,,,19.13,
Denmark,DNK,1971,15.53662405,20.12736425,,,,
Denmark,DNK,1972,15.66169698,20.28939355,,,,
Denmark,DNK,1973,15.56647099,20.16603031,,,,
Denmark,DNK,1974,17.52376389,22.70166142,,,,
Denmark,DNK,1975,18.72106353,24.2527375,,,,
Denmark,DNK,1976,18.01916598,23.34344423,,,,
Denmark,DNK,1977,18.35230368,23.77501701,,,,
Denmark,DNK,1978,19.23045696,24.9126458,,,,
Denmark,DNK,1979,19.7745319,25.61748325,,,,
Denmark,DNK,1980,20.334,,20.334,,27.45,26.44
